subject_code,year,session,paper_number,variant,question_number,label,marks,text_statement,image_path
9702,2025,March,2,2,1,a,1,Explain what is meant by the accuracy of a measured value.,NULL
9702,2025,March,2,2,1,b(i),2,"Two solid cubes, A and B, are measured to determine the density of their materials. Table 1.1 shows the measurements for cube A. Show that the calculated density of the material of cube A is 8.7 × 10^3 kg/m^3.",data/images/9702_m25_qp_22_table1_1.png
9702,2025,March,2,2,1,b(ii),2,Calculate the percentage uncertainty in the density of the material of cube A.,NULL
9702,2025,March,2,2,1,b(iii),2,The density of the material of cube B is determined to be 9.2 × 10^3 kg/m^3 ± 6%. State and explain whether cube A and cube B could be made from the same material.,NULL
9702,2025,March,2,2,2,NULL,10,Moments and Upthrust,NULL
9702,2025,March,2,2,2,a,2,State the principle of moments.,NULL
9702,2025,March,2,2,2,b(i),3,"A solid plastic cylinder floats in water. It is used to support one end of a horizontal uniform beam AB as shown in Fig. 2.1. The beam has length 6.0 m and weight 1700 N. The beam is attached to solid ground with a hinge at end A. The cylinder applies a vertical force of 1300 N to the beam. A person of weight 660 N stands on the beam at point P. The beam AB is in equilibrium. By taking moments about end A, determine the distance x from A to P.",data/images/9702_m25_qp_22_fig2_1.png
9702,2025,March,2,2,2,b(ii),1,The bottom of the cylinder is submerged in the water to depth y as shown in Fig. 2.2. The cylinder has mass 11 kg and diameter 0.78 m. The beam exerts a vertical force of 1300 N on the cylinder. The cylinder is in equilibrium. Show that the upthrust acting on the cylinder is 1400 N.,data/images/9702_m25_qp_22_fig2_2.png
9702,2025,March,2,2,2,b(iii),2,Calculate the depth y. The water has density 990 kg/m^3.,NULL
9702,2025,March,2,2,2,b(iv),2,"The person can stand anywhere between A and B. On Fig. 2.3, sketch the variation of the depth of the bottom of the cylinder with the distance of the person from A, for distances between 0 and 6.0 m. Numerical values are not required.",data/images/9702_m25_qp_22_fig2_3.png
9702,2025,March,2,2,3,NULL,10,Dynamics and Energy,NULL
9702,2025,March,2,2,3,a(i),2,"A truck R of mass 9400 kg moves with constant acceleration in a straight line down a slope, as illustrated in Fig. 3.1. At point A the speed of the truck is 13 m/s and at point B the speed of the truck is 22 m/s. A and B are a distance of 180 m apart. Calculate the acceleration of the truck between A and B.",data/images/9702_m25_qp_22_fig3_1.png
9702,2025,March,2,2,3,a(ii),3,Determine the gain in kinetic energy of the truck between A and B.,NULL
9702,2025,March,2,2,3,b(i),1,Define force.,NULL
9702,2025,March,2,2,3,b(ii),1,A short time after passing point B truck R moves in a straight line on horizontal ground. The driver of the truck applies the brakes. Fig. 3.2 shows the variation with time of the momentum of the truck. Show that the average resultant force F acting on truck R between time t = 0 and t = 15 s is –1.2 × 10^4 N.,data/images/9702_m25_qp_22_fig3_2.png
9702,2025,March,2,2,3,b(iii),3,"An identical truck S has the same initial momentum as truck R. Truck S experiences a constant force equal to the force F in (b)(ii). State and explain whether truck S will take more, less or the same amount of time to come to rest as truck R.",NULL
9702,2025,March,2,2,4,NULL,8,Waves and Stationary Waves,NULL
9702,2025,March,2,2,4,a,4,"A device containing a microwave emitter and receiver is placed in front of a large metal sheet in a vacuum as shown in Fig. 4.1. The line XY is perpendicular to the metal sheet. The device emits microwaves of frequency 6.3 GHz. When the device is at position P, a stationary wave is formed between the device and the sheet. Explain how the stationary wave, including the nodes and the antinodes, is formed.",data/images/9702_m25_qp_22_fig4_1.png
9702,2025,March,2,2,4,b(i),2,Calculate the wavelength of the microwaves.,NULL
9702,2025,March,2,2,4,b(ii),1,At point P the receiver detects a maximum amplitude of the stationary wave. The device is moved slowly from point P along the line XY and the receiver detects a series of minimum and maximum amplitudes. The first time a minimum amplitude is detected by the receiver is when the device is at point Q. Determine the distance between P and Q.,NULL
9702,2025,March,2,2,4,b(iii),1,"The intensity of the microwaves emitted by the device is increased. The frequency of the microwaves is unchanged. The device is moved slowly along the line XY from point Q until the next maximum amplitude is detected at point R. State and explain whether the distance QR is greater than, less than or the same as distance PQ.",NULL
9702,2025,March,2,2,5,NULL,5,Doppler Effect,NULL
9702,2025,March,2,2,5,a,3,A stationary loudspeaker emits sound of constant frequency. A microphone is placed near to the loudspeaker and connected to a cathode-ray oscilloscope (CRO). The trace on the screen of the CRO is shown in Fig. 5.1. The time-base of the CRO is set to 5.0 × 10^-4 s/cm. The speed of the sound emitted by the loudspeaker is 330 m/s. Determine the wavelength of the sound.,data/images/9702_m25_qp_22_fig5_1.png
9702,2025,March,2,2,5,b,2,The loudspeaker now moves in a straight line while emitting the same sound of constant frequency. The period of the trace on the CRO increases continuously. Describe the motion of the loudspeaker.,NULL
9702,2025,March,2,2,6,NULL,13,Electricity and Drift Speed,NULL
9702,2025,March,2,2,6,a,2,A wire has resistance 3.3 mΩ. The current in the wire is 0.85 A. Calculate the potential difference across the wire.,NULL
